ref_date,generation_type,reported_total_mwh,computed_total_mwh,suppressed_component_count,component_count,variance_mwh,variance_pct,reconciliation_flag
2010-03-01,Combustion turbine,31600,31600,0,1,0,0.0000,OK
2010-03-01,Conventional steam turbine,941411,941411,0,2,0,0.0000,OK
2010-03-01,Hydraulic turbine,93488,93488,0,2,0,0.0000,OK
2010-03-01,Tidal power turbine,2547,2547,0,1,0,0.0000,OK
2010-03-01,Total all types of electricity generation,1080096,1080096,0,2,0,0.0000,OK
2010-03-01,Wind power turbine,11050,11050,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-04-01,Combustion turbine,31676,31676,0,1,0,0.0000,OK
2010-04-01,Conventional steam turbine,676485,676485,0,2,0,0.0000,OK
2010-04-01,Hydraulic turbine,97370,97370,0,2,0,0.0000,OK
2010-04-01,Tidal power turbine,2412,2412,0,1,0,0.0000,OK
2010-04-01,Total all types of electricity generation,812409,812409,0,2,0,0.0000,OK
2010-04-01,Wind power turbine,4466,4466,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-05-01,Combustion turbine,42774,42774,0,1,0,0.0000,OK
2010-05-01,Conventional steam turbine,766076,766076,0,2,0,0.0000,OK
2010-05-01,Hydraulic turbine,72743,72743,0,2,0,0.0000,OK
2010-05-01,Tidal power turbine,2695,2695,0,1,0,0.0000,OK
2010-05-01,Total all types of electricity generation,892489,892489,0,2,0,0.0000,OK
2010-05-01,Wind power turbine,8201,8201,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-06-01,Combustion turbine,33517,33517,0,1,0,0.0000,OK
2010-06-01,Conventional steam turbine,765238,765238,0,2,0,0.0000,OK
2010-06-01,Hydraulic turbine,67570,67570,0,2,0,0.0000,OK
2010-06-01,Tidal power turbine,2503,2503,0,1,0,0.0000,OK
2010-06-01,Total all types of electricity generation,874278,874278,0,2,0,0.0000,OK
2010-06-01,Wind power turbine,5450,5450,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-07-01,Combustion turbine,16029,16029,0,1,0,0.0000,OK
2010-07-01,Conventional steam turbine,868896,868896,0,2,0,0.0000,OK
2010-07-01,Hydraulic turbine,55570,55570,0,2,0,0.0000,OK
2010-07-01,Tidal power turbine,2472,2472,0,1,0,0.0000,OK
2010-07-01,Total all types of electricity generation,948846,948846,0,2,0,0.0000,OK
2010-07-01,Wind power turbine,5879,5879,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-08-01,Combustion turbine,15771,15771,0,1,0,0.0000,OK
2010-08-01,Conventional steam turbine,873995,873995,0,2,0,0.0000,OK
2010-08-01,Hydraulic turbine,47359,47359,0,2,0,0.0000,OK
2010-08-01,Tidal power turbine,2636,2636,0,1,0,0.0000,OK
2010-08-01,Total all types of electricity generation,946190,946190,0,2,0,0.0000,OK
2010-08-01,Wind power turbine,6429,6429,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-09-01,Combustion turbine,31929,31929,0,1,0,0.0000,OK
2010-09-01,Conventional steam turbine,744686,744686,0,2,0,0.0000,OK
2010-09-01,Hydraulic turbine,53426,53426,0,2,0,0.0000,OK
2010-09-01,Tidal power turbine,2480,2480,0,1,0,0.0000,OK
2010-09-01,Total all types of electricity generation,840324,840324,0,2,0,0.0000,OK
2010-09-01,Wind power turbine,7803,7803,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-10-01,Combustion turbine,30919,30919,0,1,0,0.0000,OK
2010-10-01,Conventional steam turbine,818186,818186,0,2,0,0.0000,OK
2010-10-01,Hydraulic turbine,58867,58867,0,2,0,0.0000,OK
2010-10-01,Tidal power turbine,2014,2014,0,1,0,0.0000,OK
2010-10-01,Total all types of electricity generation,924752,924752,0,2,0,0.0000,OK
2010-10-01,Wind power turbine,14766,14766,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-11-01,Combustion turbine,48615,48615,0,1,0,0.0000,OK
2010-11-01,Conventional steam turbine,813552,813552,0,2,0,0.0000,OK
2010-11-01,Hydraulic turbine,105556,105556,0,2,0,0.0000,OK
2010-11-01,Tidal power turbine,1913,1913,0,1,0,0.0000,OK
2010-11-01,Total all types of electricity generation,983273,983273,0,2,0,0.0000,OK
2010-11-01,Wind power turbine,13637,13637,1,2,0,0.0000,SUPPRESSED_SOURCE
2010-12-01,Combustion turbine,27349,27349,0,1,0,0.0000,OK
2010-12-01,Conventional steam turbine,862427,862427,0,2,0,0.0000,OK
2010-12-01,Hydraulic turbine,152924,152924,0,2,0,0.0000,OK
2010-12-01,Tidal power turbine,2297,2297,0,1,0,0.0000,OK
2010-12-01,Total all types of electricity generation,1072740,1072740,0,2,0,0.0000,OK
2010-12-01,Wind power turbine,27743,27743,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-01-01,Combustion turbine,42563,42563,0,1,0,0.0000,OK
2011-01-01,Conventional steam turbine,987233,987233,0,2,0,0.0000,OK
2011-01-01,Hydraulic turbine,131037,131037,0,2,0,0.0000,OK
2011-01-01,Tidal power turbine,2494,2494,0,1,0,0.0000,OK
2011-01-01,Total all types of electricity generation,1186036,1186036,0,2,0,0.0000,OK
2011-01-01,Wind power turbine,22709,22709,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-02-01,Combustion turbine,39743,39743,0,1,0,0.0000,OK
2011-02-01,Conventional steam turbine,956954,956954,0,2,0,0.0000,OK
2011-02-01,Hydraulic turbine,104673,104673,0,2,0,0.0000,OK
2011-02-01,Tidal power turbine,2216,2216,0,1,0,0.0000,OK
2011-02-01,Total all types of electricity generation,1124310,1124310,0,2,0,0.0000,OK
2011-02-01,Wind power turbine,20724,20724,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-03-01,Combustion turbine,41505,41505,0,1,0,0.0000,OK
2011-03-01,Conventional steam turbine,941816,941816,0,2,0,0.0000,OK
2011-03-01,Hydraulic turbine,134181,134181,0,2,0,0.0000,OK
2011-03-01,Tidal power turbine,2400,2400,0,1,0,0.0000,OK
2011-03-01,Total all types of electricity generation,1158327,1158327,0,2,0,0.0000,OK
2011-03-01,Wind power turbine,38425,38425,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-04-01,Combustion turbine,43228,43228,0,1,0,0.0000,OK
2011-04-01,Conventional steam turbine,733599,733599,0,2,0,0.0000,OK
2011-04-01,Hydraulic turbine,113540,113540,0,2,0,0.0000,OK
2011-04-01,Tidal power turbine,2732,2732,0,1,0,0.0000,OK
2011-04-01,Total all types of electricity generation,929685,929685,0,2,0,0.0000,OK
2011-04-01,Wind power turbine,36586,36586,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-05-01,Combustion turbine,49423,49423,0,1,0,0.0000,OK
2011-05-01,Conventional steam turbine,650112,650112,0,2,0,0.0000,OK
2011-05-01,Hydraulic turbine,133407,133407,0,2,0,0.0000,OK
2011-05-01,Tidal power turbine,2381,2381,0,1,0,0.0000,OK
2011-05-01,Total all types of electricity generation,868537,868537,0,2,0,0.0000,OK
2011-05-01,Wind power turbine,33214,33214,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-06-01,Combustion turbine,41359,41359,0,1,0,0.0000,OK
2011-06-01,Conventional steam turbine,687641,687641,0,2,0,0.0000,OK
2011-06-01,Hydraulic turbine,82095,82095,0,2,0,0.0000,OK
2011-06-01,Tidal power turbine,2516,2516,0,1,0,0.0000,OK
2011-06-01,Total all types of electricity generation,835642,835642,0,2,0,0.0000,OK
2011-06-01,Wind power turbine,22031,22031,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-07-01,Combustion turbine,35490,35490,0,1,0,0.0000,OK
2011-07-01,Conventional steam turbine,768819,768819,0,2,0,0.0000,OK
2011-07-01,Hydraulic turbine,66314,66314,0,2,0,0.0000,OK
2011-07-01,Tidal power turbine,2786,2786,0,1,0,0.0000,OK
2011-07-01,Total all types of electricity generation,895890,895890,0,2,0,0.0000,OK
2011-07-01,Wind power turbine,22481,22481,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-08-01,Combustion turbine,27008,27008,0,1,0,0.0000,OK
2011-08-01,Conventional steam turbine,779922,779922,0,2,0,0.0000,OK
2011-08-01,Hydraulic turbine,45391,45391,0,2,0,0.0000,OK
2011-08-01,Tidal power turbine,1370,1370,0,1,0,0.0000,OK
2011-08-01,Total all types of electricity generation,875488,875488,0,2,0,0.0000,OK
2011-08-01,Wind power turbine,21797,21797,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-09-01,Combustion turbine,25837,25837,0,1,0,0.0000,OK
2011-09-01,Conventional steam turbine,644037,644037,0,2,0,0.0000,OK
2011-09-01,Hydraulic turbine,39633,39633,0,2,0,0.0000,OK
2011-09-01,Tidal power turbine,1880,1880,0,1,0,0.0000,OK
2011-09-01,Total all types of electricity generation,733590,733590,0,2,0,0.0000,OK
2011-09-01,Wind power turbine,22203,22203,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-10-01,Combustion turbine,24331,24331,0,1,0,0.0000,OK
2011-10-01,Conventional steam turbine,638215,638215,0,2,0,0.0000,OK
2011-10-01,Hydraulic turbine,81331,81331,0,2,0,0.0000,OK
2011-10-01,Tidal power turbine,2026,2026,0,1,0,0.0000,OK
2011-10-01,Total all types of electricity generation,776867,776867,0,2,0,0.0000,OK
2011-10-01,Wind power turbine,30964,30964,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-11-01,Combustion turbine,22145,22145,0,1,0,0.0000,OK
2011-11-01,Conventional steam turbine,697864,697864,0,2,0,0.0000,OK
2011-11-01,Hydraulic turbine,75058,75058,0,2,0,0.0000,OK
2011-11-01,Tidal power turbine,1311,1311,0,1,0,0.0000,OK
2011-11-01,Total all types of electricity generation,832668,832668,0,2,0,0.0000,OK
2011-11-01,Wind power turbine,36290,36290,1,2,0,0.0000,SUPPRESSED_SOURCE
2011-12-01,Combustion turbine,26449,26449,0,1,0,0.0000,OK
2011-12-01,Conventional steam turbine,780937,780937,0,2,0,0.0000,OK
2011-12-01,Hydraulic turbine,99204,99204,0,2,0,0.0000,OK
2011-12-01,Tidal power turbine,1983,1983,0,1,0,0.0000,OK
2011-12-01,Total all types of electricity generation,943732,943732,0,2,0,0.0000,OK
2011-12-01,Wind power turbine,35159,35159,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-01-01,Combustion turbine,39425,39425,0,1,0,0.0000,OK
2012-01-01,Conventional steam turbine,867680,867680,0,2,0,0.0000,OK
2012-01-01,Hydraulic turbine,100612,100612,0,2,0,0.0000,OK
2012-01-01,Tidal power turbine,1983,1983,0,1,0,0.0000,OK
2012-01-01,Total all types of electricity generation,1051425,1051425,0,2,0,0.0000,OK
2012-01-01,Wind power turbine,41725,41725,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-02-01,Combustion turbine,63739,63739,0,1,0,0.0000,OK
2012-02-01,Conventional steam turbine,822489,822489,0,2,0,0.0000,OK
2012-02-01,Hydraulic turbine,90586,90586,0,2,0,0.0000,OK
2012-02-01,Tidal power turbine,1809,1809,0,1,0,0.0000,OK
2012-02-01,Total all types of electricity generation,1011273,1011273,0,2,0,0.0000,OK
2012-02-01,Wind power turbine,32650,32650,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-03-01,Combustion turbine,74760,74760,0,1,0,0.0000,OK
2012-03-01,Conventional steam turbine,672048,672048,0,2,0,0.0000,OK
2012-03-01,Hydraulic turbine,95109,95109,0,2,0,0.0000,OK
2012-03-01,Tidal power turbine,1765,1765,0,1,0,0.0000,OK
2012-03-01,Total all types of electricity generation,880823,880823,0,2,0,0.0000,OK
2012-03-01,Wind power turbine,37141,37141,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-04-01,Combustion turbine,64657,64657,0,1,0,0.0000,OK
2012-04-01,Conventional steam turbine,621754,621754,0,2,0,0.0000,OK
2012-04-01,Hydraulic turbine,74472,74472,0,2,0,0.0000,OK
2012-04-01,Tidal power turbine,1862,1862,0,1,0,0.0000,OK
2012-04-01,Total all types of electricity generation,799359,799359,0,2,0,0.0000,OK
2012-04-01,Wind power turbine,36614,36614,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-05-01,Combustion turbine,62159,62159,0,1,0,0.0000,OK
2012-05-01,Conventional steam turbine,569692,569692,0,2,0,0.0000,OK
2012-05-01,Hydraulic turbine,69140,69140,0,2,0,0.0000,OK
2012-05-01,Tidal power turbine,2395,2395,0,1,0,0.0000,OK
2012-05-01,Total all types of electricity generation,736332,736332,0,2,0,0.0000,OK
2012-05-01,Wind power turbine,32946,32946,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-06-01,Combustion turbine,41713,41713,0,1,0,0.0000,OK
2012-06-01,Conventional steam turbine,563743,563743,0,2,0,0.0000,OK
2012-06-01,Hydraulic turbine,57846,57846,0,2,0,0.0000,OK
2012-06-01,Tidal power turbine,2891,2891,0,1,0,0.0000,OK
2012-06-01,Total all types of electricity generation,695703,695703,0,2,0,0.0000,OK
2012-06-01,Wind power turbine,29510,29510,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-07-01,Combustion turbine,36308,36308,0,1,0,0.0000,OK
2012-07-01,Conventional steam turbine,618896,618896,0,2,0,0.0000,OK
2012-07-01,Hydraulic turbine,42984,42984,0,2,0,0.0000,OK
2012-07-01,Tidal power turbine,2368,2368,0,1,0,0.0000,OK
2012-07-01,Total all types of electricity generation,726457,726457,0,2,0,0.0000,OK
2012-07-01,Wind power turbine,25901,25901,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-08-01,Combustion turbine,52233,52233,0,1,0,0.0000,OK
2012-08-01,Conventional steam turbine,661340,661340,0,2,0,0.0000,OK
2012-08-01,Hydraulic turbine,19284,19284,0,2,0,0.0000,OK
2012-08-01,Tidal power turbine,2464,2464,0,1,0,0.0000,OK
2012-08-01,Total all types of electricity generation,760946,760946,0,2,0,0.0000,OK
2012-08-01,Wind power turbine,25625,25625,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-09-01,Combustion turbine,40649,40649,0,1,0,0.0000,OK
2012-09-01,Conventional steam turbine,555432,555432,0,2,0,0.0000,OK
2012-09-01,Hydraulic turbine,31132,31132,0,2,0,0.0000,OK
2012-09-01,Tidal power turbine,2609,2609,0,1,0,0.0000,OK
2012-09-01,Total all types of electricity generation,668509,668509,0,2,0,0.0000,OK
2012-09-01,Wind power turbine,38687,38687,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-10-01,Combustion turbine,67884,67884,0,1,0,0.0000,OK
2012-10-01,Conventional steam turbine,623135,623135,0,2,0,0.0000,OK
2012-10-01,Hydraulic turbine,75030,75030,0,2,0,0.0000,OK
2012-10-01,Tidal power turbine,2096,2096,0,1,0,0.0000,OK
2012-10-01,Total all types of electricity generation,815473,815473,0,2,0,0.0000,OK
2012-10-01,Wind power turbine,47328,47328,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-11-01,Combustion turbine,13632,13632,0,1,0,0.0000,OK
2012-11-01,Conventional steam turbine,758029,758029,0,2,0,0.0000,OK
2012-11-01,Hydraulic turbine,91092,91092,0,2,0,0.0000,OK
2012-11-01,Tidal power turbine,2388,2388,0,1,0,0.0000,OK
2012-11-01,Total all types of electricity generation,905230,905230,0,2,0,0.0000,OK
2012-11-01,Wind power turbine,40089,40089,1,2,0,0.0000,SUPPRESSED_SOURCE
2012-12-01,Combustion turbine,26804,26804,0,1,0,0.0000,OK
2012-12-01,Conventional steam turbine,847033,847033,0,2,0,0.0000,OK
2012-12-01,Hydraulic turbine,87254,87254,0,2,0,0.0000,OK
2012-12-01,Tidal power turbine,2498,2498,0,1,0,0.0000,OK
2012-12-01,Total all types of electricity generation,1015394,1015394,0,2,0,0.0000,OK
2012-12-01,Wind power turbine,51805,51805,1,2,0,0.0000,SUPPRESSED_SOURCE
